"Complete Payment","إتمام الدفع",""
"optional","اختياري",""
"Payment Method","طريقة الدفع",""
"Refund Amount","المبلغ المسترد",""
"Enter amount...","أدخل المبلغ...",""
"Total Amount","إجمالي المبلغ",""
"Remaining","المتبقي",""
"Change Due","الباقي",""
"On Account","بالآجل",""
"Paid in Full","خالص / مدفوع بالكامل",""
"Fully Paid","مدفوع بالكامل",""
"Paid Amount","المبلغ المدفوع",""
"Paid: {0}","المدفوع: {0}",""
"Customer Credit Available","رصيد العميل المتاح",""
"Outstanding Balance","مديونية العميل",""
"Credit can be applied to invoice","يمكن استخدام الرصيد لسداد الفاتورة",""
"Amount owed by customer","المبلغ المستحق على العميل",""
"No outstanding balance","لا توجد مديونية",""
"Save","حفظ",""
"Cancel","إلغاء",""
"Submit","تأكيد",""
"Delete","حذف",""
"Edit","تعديل",""
"Search","بحث",""
"Close","إغلاق",""
"Confirm","تأكيد",""
"Yes","نعم",""
"No","لا",""
"Loading...","جاري التحميل...",""
"Error","خطأ",""
"Success","تم بنجاح",""
"Warning","تنبيه",""
"Information","معلومات",""
"Add Item","إضافة صنف",""
"Select Customer","اختر العميل",""
"Create Customer","عميل جديد",""
"Discount","خصم",""
"Tax","ضريبة",""
"Total","الإجمالي",""
"Checkout","الدفع وإنهاء الطلب",""
"Clear Cart","إفراغ السلة",""
"Hold Invoice","تعليق الفاتورة",""
"Print Receipt","طباعة الإيصال",""
"No stock available","الكمية نفدت",""
"Item added to cart","تمت الإضافة للسلة",""
"Item removed from cart","تم الحذف من السلة",""
"Open Shift","فتح وردية",""
"Close Shift","إغلاق الوردية",""
"Shift Opening","بداية الوردية",""
"Shift Closing","نهاية الوردية",""
"Opening Amount","عهدة الفتح",""
"Closing Amount","نقدية الإغلاق",""
"Cash in Hand","النقدية بالدرج",""
"Expected Amount","المبلغ المتوقع",""
"Difference","العجز / الزيادة",""
"Draft Invoices","مسودات",""
"Invoice History","سجل الفواتير",""
"Offline Invoices","فواتير غير مرحلة",""
"Return Invoice","مرتجع فاتورة",""
"Invoice Number","رقم الفاتورة",""
"Date","التاريخ",""
"Customer","العميل",""
"Amount","المبلغ",""
"Status","الحالة",""
"Paid","مدفوع",""
"Unpaid","غير مدفوع",""
"Partially Paid","مدفوع جزئياً",""
"Credit Note Issued","إشعار دائن",""
"Cancelled","ملغي",""
"Draft","مسودة",""
"Settings","الإعدادات",""
"General","عام",""
"Appearance","المظهر",""
"Language","اللغة",""
"Select Language","اختر اللغة",""
"Theme","السمة",""
"Notifications","الإشعارات",""
"Receipt Settings","إعدادات الإيصال",""
"Hardware","الأجهزة",""
"POS Profile","ملف نقطة البيع",""
"Network connection error","لا يوجد اتصال بالشبكة",""
"Session expired, please login again","انتهت الجلسة، يرجى الدخول مجدداً",""
"Insufficient stock for {0}","رصيد الصنف {0} غير كافٍ",""
"Invalid quantity","الكمية غير صحيحة",""
"Please select a customer","يرجى اختيار العميل أولاً",""
"Payment processing failed","فشلت عملية الدفع",""
"An unexpected error occurred","حدث خطأ غير متوقع",""
"This field is required","هذا الحقل مطلوب",""
"Minimum length is {0} characters","الحد الأدنى {0} حروف",""
"Maximum length is {0} characters","الحد الأقصى {0} حروف",""
"Please enter a valid email address","البريد الإلكتروني غير صحيح",""
"Please enter a valid phone number","رقم الهاتف غير صحيح",""
"Please enter a valid number","يرجى إدخال رقم صحيح",""
"Value must be positive","القيمة يجب أن تكون موجبة",""
"Customer Credit","رصيد العميل",""
"Available Credit","الرصيد المتاح",""
"Payment Methods","طرق الدفع",""
"Cash","نقدي",""
"Card","بطاقة بنكية",""
"Wallet","محفظة إلكترونية",""
"Bank Transfer","تحويل بنكي",""
"Item","الصنف",""
"Items","الأصناف",""
"1 item","صنف واحد",""
"{0} items","{0} أصناف",""
"Invoice Summary","ملخص الفاتورة",""
"Quantity","الكمية",""
"Price","السعر",""
"Subtotal","المجموع الفرعي",""
"Grand Total","الإجمالي الكلي",""
"Custom Amount","مبلغ مخصص",""
"Enter amount","أدخل المبلغ",""
"Apply","تطبيق",""
"Apply Coupon","تطبيق الكوبون",""
"Coupon Code","كود الخصم",""
"Remove","حذف",""
"Add","إضافة",""
"Update","تحديث",""
"Refresh","تنشيط",""
"Reload","إعادة تحميل",""
"Print","طباعة",""
"Download","تنزيل",""
"Upload","رفع",""
"Import","رفع ملف",""
"Export","تحميل ملف",""
"Filter","تصفية",""
"Sort","ترتيب",""
"Ascending","تصاعدي",""
"Descending","تنازلي",""
"All","الكل",""
"None","لا شيء",""
"Select All","تحديد الكل",""
"Deselect All","إلغاء التحديد",""
"Name","الاسم",""
"Email","البريد الإلكتروني",""
"Phone","الهاتف",""
"Address","العنوان",""
"City","المدينة",""
"State","المحافظة",""
"Country","الدولة",""
"Postal Code","الرمز البريدي",""
"Notes","ملاحظات",""
"Description","الوصف",""
"Category","القسم",""
"Type","النوع",""
"Unit","الوحدة",""
"Stock","الرصيد المخزني",""
"Available","متاح",""
"Out of Stock","نفدت الكمية",""
"Low Stock","رصيد منخفض",""
"In Stock","متوفر",""
"Barcode","باركود",""
"SKU","كود الصنف (SKU)",""
"Image","صورة",""
"Gallery","الصور",""
"Product","منتج",""
"Products","منتجات",""
"Service","خدمة",""
"Services","الخدمات",""
"Order","طلب",""
"Orders","الطلبات",""
"Invoice","فاتورة",""
"Invoices","الفواتير",""
"Payment","دفعة",""
"Payments","المدفوعات",""
"Receipt","إيصال",""
"Receipts","إيصالات",""
"Refund","استرداد",""
"Refunds","المبالغ المستردة",""
"Return","مرتجع",""
"Returns","المرتجعات",""
"Exchange","استبدال",""
"Exchanges","عمليات الاستبدال",""
"Sale","بيع",""
"Sales","المبيعات",""
"Purchase","شراء",""
"Purchases","المشتريات",""
"Report","تقرير",""
"Reports","التقارير",""
"Dashboard","لوحة التحكم",""
"Home","الرئيسية",""
"Profile","الملف الشخصي",""
"Account","الحساب",""
"Logout","تسجيل خروج",""
"Login","تسجيل دخول",""
"Sign In","دخول",""
"Sign Up","إنشاء حساب",""
"Register","تسجيل جديد",""
"Password","كلمة المرور",""
"Username","اسم المستخدم",""
"Remember Me","تذكرني",""
"Forgot Password?","نسيت كلمة المرور؟",""
"Reset Password","إعادة تعيين كلمة المرور",""
"Change Password","تغيير كلمة المرور",""
"Old Password","كلمة المرور الحالية",""
"New Password","كلمة المرور الجديدة",""
"Confirm Password","تأكيد كلمة المرور",""
"Today","اليوم",""
"Yesterday","أمس",""
"This Week","هذا الأسبوع",""
"Last Week","الأسبوع الماضي",""
"This Month","هذا الشهر",""
"Last Month","الشهر الماضي",""
"This Year","هذا العام",""
"Last Year","العام الماضي",""
"Custom Range","فترة مخصصة",""
"From","من",""
"To","إلى",""
"Start Date","تاريخ البدء",""
"End Date","تاريخ الانتهاء",""
"Time","الوقت",""
"Hour","ساعة",""
"Hours","ساعات",""
"Minute","دقيقة",""
"Minutes","دقائق",""
"Second","ثانية",""
"Seconds","ثوانٍ",""
"Day","يوم",""
"Days","أيام",""
"Week","أسبوع",""
"Weeks","أسابيع",""
"Month","شهر",""
"Months","أشهر",""
"Year","سنة",""
"Years","سنوات",""
"Are you sure?","هل أنت متأكد؟",""
"This action cannot be undone","لن يمكنك التراجع عن هذا الإجراء",""
"Confirm Delete","تأكيد الحذف",""
"Confirm Action","تأكيد الإجراء",""
"Processing...","جاري المعالجة...",""
"Please wait...","يرجى الانتظار...",""
"Saving...","جاري الحفظ...",""
"Loading data...","جاري تحميل البيانات...",""
"No data available","لا توجد بيانات",""
"No results found","لا توجد نتائج",""
"Search results","نتائج البحث",""
"Showing {0} to {1} of {2} entries","عرض {0} إلى {1} من {2}",""
"Page","صفحة",""
"Previous","السابق",""
"Next","التالي",""
"First","الأول",""
"Last","الأخير",""
"per page","في الصفحة",""
"View","عرض",""
"View Shift","عرض الوردية",""
"View Details","عرض التفاصيل",""
"Edit Details","تعديل البيانات",""
"Copy","نسخ",""
"Duplicate","تكرار",""
"Archive","أرشفة",""
"Restore","استعادة",""
"Move","نقل",""
"Rename","إعادة تسمية",""
"Share","مشاركة",""
"Download PDF","تنزيل PDF",""
"Send Email","إرسال بريد",""
"Print Invoice","طباعة الفاتورة",""
"Email Invoice","إرسال الفاتورة",""
"Mark as Paid","تسجيل كمدفوع",""
"Mark as Unpaid","تسجيل كغير مدفوع",""
"Payment Received","تم استلام الدفعة",""
"Payment Pending","الدفع معلق",""
"Payment Failed","فشل الدفع",""
"Completed","مكتمل",""
"Pending","قيد الانتظار",""
"Processing","قيد التنفيذ",""
"Cancelled","ملغي",""
"Refunded","تم الاسترداد",""
"Draft","مسودة",""
"Submitted","مُرسلة",""
"Approved","معتمدة",""
"Rejected","مرفوضة",""
"Active","نشط",""
"Inactive","غير نشط",""
"Enabled","مفعّل",""
"Disabled","معطّل",""
"Online","متصل",""
"Offline","غير متصل",""
"Connected","متصل",""
"Disconnected","غير متصل",""
"Synced","تمت المزامنة",""
"Not Synced","غير متزامن",""
"Syncing...","جاري المزامنة...",""
"Last Sync","آخر مزامنة",""
"Sync Now","مزامنة الآن",""
"Auto Sync","مزامنة تلقائية",""
"Manual Sync","مزامنة يدوية",""
"Clear Cache","مسح الذاكرة المؤقتة",""
"Reset Settings","إعادة تعيين الإعدادات",""
"Restore Defaults","استعادة الافتراضيات",""
"About","عن النظام",""
"Help","مساعدة",""
"Support","الدعم الفني",""
"Documentation","دليل الاستخدام",""
"Version","إصدار",""
"License","الترخيص",""
"Privacy Policy","سياسة الخصوصية",""
"Terms of Service","شروط الخدمة",""
"Contact Us","اتصل بنا",""
"Feedback","ملاحظات",""
"Rate Us","قيم التطبيق",""
"More","المزيد",""
"Less","أقل",""
"Show More","عرض المزيد",""
"Show Less","عرض أقل",""
"Expand","توسيع",""
"Collapse","طي",""
"Full Screen","ملء الشاشة",""
"Exit Full Screen","إنهاء ملء الشاشة",""
"Shift Open:","وقت بداية الوردية:",""
"Offline ({0} pending)","غير متصل ({0} معلقة)",""
"Online - Click to sync","متصل - اضغط للمزامنة",""
"Offline mode active","أنت تعمل في وضع ""عدم الاتصال""",""
"Online mode active","تم الاتصال بالإنترنت",""
"Cache","الذاكرة المؤقتة",""
"Items:","عدد الأصناف:",""
"Last Sync:","آخر مزامنة:",""
"Status:","الحالة:",""
"Auto-Sync:","مزامنة تلقائية:",""
"Refreshing...","جاري التحديث...",""
"Refresh Items","تحديث البيانات",""
"Refreshing items...","جاري تحديث الأصناف...",""
"Refresh items list","تحديث قائمة الأصناف",""
"Empty","فارغ",""
"Syncing","جاري المزامنة",""
"Ready","جاهز",""
"Never","أبداً",""
"Cache empty","الذاكرة فارغة",""
"Cache syncing","مزامنة الذاكرة",""
"Cache ready","البيانات جاهزة",""
"Access your point of sale system","الدخول لنظام نقاط البيع",""
"Your cart is empty","السلة فارغة",""
